CONTRIBUTION_ID,PERIOD_START,PERIOD_END,CONTRIBUTION_DATE,RECIPIENT,AMOUNT,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_LAST_NAME,CREATED_DATE
4228608542,10/01/2012,12/31/2012,10/24/2012,ALDERMAN PAT O'CONNOR - FUNDRAISER,300.00,3918,LISA,OUZOUNION,01/28/2013
2307963772,07/01/2012,09/30/2012,09/07/2012,44TH WARD DEMOCRATIC ORGANIZATIO,500.00,3894,JERRY,MICKELSON,10/07/2012
391797247,01/01/2012,06/30/2012,03/12/2012,CITIZEN FOR JOE MOORE,1500.00,4332,MICHAEL,PAULOS,08/23/2012
4269817181,07/01/2013,09/30/2013,09/13/2013,FRIENDS OF MARGARET LAURINO,200.00,4313,BETSY,SALES,10/21/2013
1808126305,01/01/2017,03/31/2017,03/28/2017,FRIENDS FOR RAYMOND LOPEZ,250.00,4162,MARY,MINAGHAN DBA MKM SERVICES,08/08/2017
1121099178,04/01/2019,06/30/2019,05/23/2019,FRIENDS OF MICHAEL RODRIQUEZ,500.00,3845,ROLANDO,ACOSTA,01/21/2020
2079123454,04/01/2019,06/30/2019,05/24/2019,GEORGE CARDENAS,250.00,13761,MICHAEL,AXELROD,11/04/2019
2899637287,01/01/2017,03/31/2017,03/29/2017,11TH WARD DEMOCRATIC PARTY CAMP. ORGANIZATION,500.00,3740,MICHAEL,KASPER,12/08/2017
3478551827,04/01/2013,06/30/2013,06/06/2013,ALDERMAN MIKE ZALEWSKI,500.00,3740,MICHAEL,KASPER,12/05/2013
2145961609,01/01/2019,03/31/2019,03/22/2019,MICHELE SMITH,1500.00,8161,WILLIAM,SINGER,07/19/2019
4269719068,01/01/2019,03/31/2019,03/19/2019,MELISSA CONYERS-ERVIN,500.00,4072,JOHN,BOROVICKA,11/04/2019
1482003617,01/01/2015,03/31/2015,03/24/2015,CITIZENS TO ELECT WILLIE B. COCRAN,250.00,4154,DENNIS,O'SULLIVAN,01/07/2016
4054061197,10/01/2013,12/31/2013,12/18/2013,ALDERMAN MARY O'CONNOR,500.00,3930,DAVID,DRING,01/07/2014
2147280422,01/01/2015,03/31/2015,02/04/2015,CITIZENS TO ELECT JOHN ARENA,125.00,11561,PETER,EISENBERG,07/14/2015
886663567,10/01/2013,12/31/2013,10/01/2013,FRIENDS OF MARGARET LAURINO,1500.00,3918,LISA,OUZOUNION,01/21/2014
2138893672,01/01/2012,06/30/2012,02/23/2012,FRIENDS OF WALTER BURNETT JR.,500.00,3894,JERRY,MICKELSON,09/06/2012
394102578,10/01/2017,12/31/2017,11/20/2017,CITIZENS FOR DEB MELL,500.00,3739,COURTNEY,NOTTAGE,01/08/2018
4232660229,10/01/2017,12/31/2017,10/13/2017,11TH WARD DEMOCRATIC PARTY CAMPAIGN ORGANIZATION,500.00,3739,COURTNEY,NOTTAGE,01/08/2018
2219884938,01/01/2019,03/31/2019,03/26/2019,FRIENDS OF ROD SAWYER,500.00,3989,WILLIAM,GRIFFIN,04/11/2019
3267470753,07/01/2017,09/30/2017,08/23/2017,FRIENDS OF RAYMOND LOPEZ,500.00,13202,TYLER,MANIC,01/11/2018
2478505513,01/01/2015,03/31/2015,01/14/2015,"FRIENDS OF WALTER BURNETT, JR",500.00,9621,MICHAEL,EZGUR,10/20/2015
1544946303,10/01/2017,12/31/2017,10/24/2017,RODRICK SAWYER,50.00,3955,LEWIS,POWELL,01/30/2018
3660317154,01/01/2015,03/31/2015,01/23/2015,KURT SUMMERS,500.00,4193,JOHN,DUNN,12/23/2015
4058087594,07/01/2018,09/30/2018,09/06/2018,CITIZENS FOR DEAN MARAGOS,100.00,4068,DONNA,PUGH,01/20/2019
431547569,01/01/2019,03/31/2019,01/08/2019,CITIZENS OF O'CONNOR,500.00,20943,JACK,LAVIN,04/11/2019
3060007172,10/01/2018,12/31/2018,12/19/2018,TONI PRECKWINKLE,500.00,17901,MATTHEW,SUMMY,01/05/2019
2448171141,10/01/2019,12/31/2019,11/20/2019,THE NEW 37TH WARD DEMOCRATIC ORGANIZATION,500.00,4337,DAVID,DOIG,01/20/2020
1711185344,07/01/2019,09/30/2019,08/16/2019,THE ITALIAN AMERICAN POLITICAL COALITION,300.00,4239,KEVIN,WOLFBERG,10/18/2019
1384990204,10/01/2019,12/31/2019,12/26/2019,ALD. RODERICK SAWYER,150.00,16501,REYAHD,KAZMI,12/26/2019
928461168,01/01/2019,03/31/2019,02/25/2019,CITIZENS FOR TUNNEY,250.00,19621,JOHN,HARTMAN,04/09/2019
531964990,10/01/2018,12/31/2018,12/13/2018,MELISSA ERVIN FOR CITY TREASURER,1500.00,17201,THOMAS,RAINES,11/12/2019
1635934815,01/01/2019,03/31/2019,01/28/2019,FRIENDS OF MICHELLE HARRIS,125.00,20822,DONALD,WILLIAMS,06/24/2019
1613024402,10/01/2013,12/31/2013,10/31/2013,37TH WARD DEMOCRATIC ORGANIZATION,250.00,6401,DEAN,MARAGOS,01/17/2014
4199775676,01/01/2013,03/31/2013,03/21/2013,JOHN ARENA,250.00,3743,MARCUS,NUNES,10/18/2013
1798096080,01/01/2014,03/31/2014,02/13/2014,ALDERMAN MARGARET LAURINO,250.00,3740,MICHAEL,KASPER,10/30/2014
1637082983,07/01/2014,09/30/2014,09/15/2014,CITIZENS FOR PATRICK O'CONNOR,250.00,5127,PAT,DOERR,10/22/2014
1487296954,07/01/2019,09/30/2019,07/15/2019,ROD SAWYER,200.00,5701,PAUL,WILLIAMS,10/14/2019
3296330697,10/01/2012,12/31/2012,12/19/2012,ALD EDWARD BURKE,1000.00,3912,TERRY,GABINSKI,02/04/2013
995969767,01/01/2017,03/31/2017,02/24/2017,28TH WARD DEMOCRATIC ORGANIZATION,500.00,3753,LANGDON,NEAL,10/22/2018
4227195496,04/01/2016,06/30/2016,05/10/2016,ALDERMAN OF THE 10TH WARD,500.00,4239,KEVIN,WOLFBERG,07/20/2016
569131610,04/01/2017,06/30/2017,04/06/2017,FRIENDS OF LESLIE HAIRSTON,250.00,4162,MARY,MINAGHAN DBA MKM SERVICES,08/08/2017
388618203,01/01/2018,03/31/2018,02/02/2018,ALDERMAN HOPKINS,1500.00,4160,EDWARD,KUS,04/19/2018
1485800706,10/01/2018,12/31/2018,12/20/2018,FRIENDS OF MICHELLE A. HARRIS,500.00,22221,LUIS,ANDRADE,01/17/2019
850446078,07/01/2018,09/30/2018,09/14/2018,FRIENDS OF SUSANA MENDOZA,250.00,4068,DONNA,PUGH,01/20/2019
2625393909,04/01/2015,06/30/2015,06/25/2015,FRIENDS OF WILL BURNS,150.00,4173,PETER,CASSEL,07/20/2015
4171560849,01/01/2019,03/31/2019,03/19/2019,FRIENDS FOR RODERICK SAWYER,200.00,4155,THOMAS,MURPHY,04/22/2019
1967955354,01/01/2016,03/31/2016,02/02/2016,FRIENDS OF SUSAN SADLOWSKI,250.00,4254,ARNOLD,HARRIS,04/19/2016
4036408088,01/01/2016,03/31/2016,02/22/2016,12TH WARD REGULAR DEMOCRATIC ORGANIZATION,1000.00,8162,GERY,CHICO,01/19/2017
683903469,04/01/2017,06/30/2017,05/23/2017,FRIENDS OF JOHN DAMICO,1000.00,4239,KEVIN,WOLFBERG,07/20/2017
