Id,Label,timeset,count,modularity_class,clustering,triangles,eigencentrality
3736,3736,,1,828,0,0,0
11181,11181,,2,829,0,0,0
19442,19442,,1,830,0,0,0
22022,22022,,1,831,0,0,0
20501,20501,,1,832,0,0,0
22861,22861,,1,833,0,0,0
4646,4646,,1,834,0,0,0
14062,14062,,1,835,0,0,0
4821,4821,,1,836,0,0,0
8501,8501,,1,837,0,0,0
12081,12081,,1,838,0,0,0
9344,9344,,1,839,0,0,0
19101,19101,,1,840,0,0,0
5104,5104,,1,841,0,0,0
22902,22902,,1,842,0,0,0
23181,23181,,1,843,0,0,0
7341,7341,,1,844,0,0,0
17661,17661,,1,845,0,0,0
3887,3887,,1,846,0,0,0
15981,15981,,1,847,0,0,0
13861,13861,,1,848,0,0,0
21381,21381,,1,849,0,0,0
24611,24611,,1,850,0,0,0
21943,21943,,1,851,0,0,0
4271,4271,,1,852,0,0,0
6224,6224,,1,853,0,0,0
22061,22061,,1,854,0,0,0
5123,5123,,1,855,0,0,0
7521,7521,,1,856,0,0,0
4289,4289,,1,857,0,0,0
4222,4222,,1,858,0,0,0
17421,17421,,1,859,0,0,0
12582,12582,,1,860,0,0,0
4425,4425,,1,861,0,0,0
19641,19641,,1,862,0,0,0
3860,3860,,1,863,0,0,0
10521,10521,,1,864,0,0,0
15921,15921,,1,865,0,0,0
24342,24342,,1,866,0,0,0
16881,16881,,1,867,0,0,0
19961,19961,,1,868,0,0,0
9981,9981,,1,869,0,0,0
16121,16121,,1,870,0,0,0
4156,4156,,1,871,0,0,0
4828,4828,,1,872,0,0,0
4476,4476,,1,873,0,0,0
18904,18904,,1,874,0,0,0
6661,6661,,1,875,0,0,0
3978,3978,,1,876,0,0,0
19862,19862,,2,877,0,0,0
19181,19181,,1,878,0,0,0
20781,20781,,1,879,0,0,0
9061,9061,,1,880,0,0,0
3778,3778,,1,881,0,0,0
12281,12281,,1,882,0,0,0
12102,12102,,1,883,0,0,0
21804,21804,,1,884,0,0,0
11495,11495,,1,885,0,0,0
9343,9343,,1,886,0,0,0
21842,21842,,1,887,0,0,0
11488,11488,,1,888,0,0,0
4093,4093,,1,889,0,0,0
4213,4213,,1,890,0,0,0
24461,24461,,1,891,0,0,0
22205,22205,,1,892,0,0,0
23642,23642,,1,893,0,0,0
3818,3818,,1,894,0,0,0
20503,20503,,1,895,0,0,0
18621,18621,,1,896,0,0,0
4058,4058,,1,897,0,0,0
10522,10522,,1,898,0,0,0
19683,19683,,1,899,0,0,0
20222,20222,,1,900,0,0,0
23661,23661,,1,901,0,0,0
4128,4128,,1,902,0,0,0
8121,8121,,1,903,0,0,0
21121,21121,,1,904,0,0,0
4102,4102,,1,905,0,0,0
20165,20165,,1,906,0,0,0
19681,19681,,1,907,0,0,0
22281,22281,,1,908,0,0,0
18661,18661,,1,909,0,0,0
10641,10641,,1,910,0,0,0
11441,11441,,1,911,0,0,0
15381,15381,,1,912,0,0,0
3974,3974,,1,913,0,0,0
4023,4023,,1,914,0,0,0
25131,25131,,1,915,0,0,0
25189,25189,,1,916,0,0,0
24309,24309,,1,917,0,0,0
24061,24061,,1,918,0,0,0
24725,24725,,1,919,0,0,0
24308,24308,,1,920,0,0,0
25124,25124,,1,921,0,0,0
25192,25192,,1,922,0,0,0
25123,25123,,1,923,0,0,0
25138,25138,,1,924,0,0,0
25184,25184,,1,925,0,0,0
14361,14361,,1,926,0,0,0
25203,25203,,1,927,0,0,0
25208,25208,,2,928,0,0,0
18401,18401,,1,929,0,0,0
16742,16742,,1,930,0,0,0
25150,25150,,1,931,0,0,0
25175,25175,,1,932,0,0,0
25226,25226,,1,933,0,0,0
25177,25177,,1,934,0,0,0
25212,25212,,1,935,0,0,0
25201,25201,,1,936,0,0,0
25102,25102,,1,937,0,0,0
18141,18141,,1,938,0,0,0
24664,24664,,1,939,0,0,0
25198,25198,,1,940,0,0,0
24723,24723,,1,941,0,0,0
25230,25230,,1,942,0,0,0
25132,25132,,1,943,0,0,0
25172,25172,,1,944,0,0,0
24177,24177,,1,945,0,0,0
0,0,,0,946,0,0,0
