Source,Target,Weight
FRIENDS OF MATT O'SHEA,NEIGHBORS FOR HARRY OSTERMAN,4
FRIENDS OF MATT O'SHEA,CITIZENS FOR JOE MOORE,10
FRIENDS OF MATT O'SHEA,ANTHONY BEALE,3
FRIENDS OF MATT O'SHEA,FRIENDS OF RAYMOND LOPEZ,4
FRIENDS OF MATT O'SHEA,ALDERMAN GEORGE CARDENAS,4
FRIENDS OF MATT O'SHEA,FRIENDS OF NICHOLAS SPOSATO,5
FRIENDS OF MATT O'SHEA,FRIENDS OF EDWARD M. BURKE,5
FRIENDS OF MATT O'SHEA,FRIENDS OF ED BURKE,8
FRIENDS OF MATT O'SHEA,CITIZENS FOR CAPPLEMAN,6
FRIENDS OF MATT O'SHEA,COMMITTEE TO ELECT HOWARD BROOKINS,3
FRIENDS OF MATT O'SHEA,FRIENDS OF MICHELLE HARRIS,9
FRIENDS OF MATT O'SHEA,FRIENDS OF GEORGE A CARDENAS,3
FRIENDS OF MATT O'SHEA,CITIZENS FOR CARRIE AUSTIN,6
FRIENDS OF MATT O'SHEA,FRIENDS OF JOANN THOMPSON,3
FRIENDS OF MATT O'SHEA,FRIENDS OF PATRICK D. THOMPSON,4
FRIENDS OF MATT O'SHEA,FRIENDS OF GREG MITCHELL,4
FRIENDS OF MATT O'SHEA,FRIENDS OF RODERICK T SAWYER,4
FRIENDS OF MATT O'SHEA,FRIENDS OF GEORGE A. CARDENAS,4
FRIENDS OF MATT O'SHEA,CITIZENS FOR MICHAEL SCOTT JR.,3
FRIENDS OF MATT O'SHEA,FRIENDS OF DEBRA SILVERSTEIN,4
FRIENDS OF MATT O'SHEA,ERVIN FOR COMMITTEEMAN,3
FRIENDS OF MATT O'SHEA,FRIENDS OF TABARES,3
FRIENDS OF MATT O'SHEA,FRIENDS OF RAY LOPEZ,3
ANDRE VASQUEZ,SUSAN SADLOWSKI GARZA,3
CITIZENS FOR ALDERMAN MICHAEL SCOTT JR.,CITIZENS FOR REBOYRAS,3
CITIZENS FOR ALDERMAN MICHAEL SCOTT JR.,FRIENDS OF GEORGE CARDENAS,5
CITIZENS FOR ALDERMAN MICHAEL SCOTT JR.,CITIZENS FOR JOE MOORE,4
CITIZENS FOR ALDERMAN MICHAEL SCOTT JR.,FRIENDS OF RAYMOND LOPEZ,3
CITIZENS FOR ALDERMAN MICHAEL SCOTT JR.,CITIZENS FOR CAPPLEMAN,5
NEIGHBORS FOR DANIEL LA SPATA,FRIENDS OF GEORGE CARDENAS,3
NEIGHBORS FOR DANIEL LA SPATA,CITIZENS FOR CAPPLEMAN,3
CITIZENS FOR JASON ERVIN,CITIZENS FOR ALDERMAN REILLY,3
CITIZENS FOR JASON ERVIN,FRIENDS OF LESLIE HAIRSTON,3
CITIZENS FOR JASON ERVIN,FRIENDS OF ED BURKE,3
CITIZENS TO ELECT DAVID MOORE,FRIENDS OF RODERICK T. SAWYER,4
CITIZENS TO ELECT DAVID MOORE,FRIENDS OF LESLIE HAIRSTON,4
CITIZENS TO ELECT DAVID MOORE,NEIGHBORS FOR HARRY OSTERMAN,3
CITIZENS TO ELECT DAVID MOORE,CITIZENS FOR JOE MOORE,4
CITIZENS TO ELECT DAVID MOORE,FRIENDS OF RAYMOND LOPEZ,4
CITIZENS TO ELECT DAVID MOORE,CITIZENS FOR CAPPLEMAN,4
CITIZENS TO ELECT DAVID MOORE,FRIENDS OF CARRIE AUSTIN 34TH WARD COMMITTEEMAN,3
CITIZENS TO ELECT DAVID MOORE,FRIENDS OF MICHELLE HARRIS,4
CITIZENS TO ELECT DAVID MOORE,CITIZENS FOR CARRIE AUSTIN,3
CITIZENS TO ELECT DAVID MOORE,FRIENDS OF PATRICK D. THOMPSON,4
CITIZENS TO ELECT DAVID MOORE,FRIENDS OF GREG MITCHELL,4
CITIZENS TO ELECT DAVID MOORE,FRIENDS OF GEORGE A. CARDENAS,4
CITIZENS TO ELECT DAVID MOORE,FRIENDS OF TABARES,3
ALDERMAN GILBERT VILLEGAS,FRIENDS OF RODERICK T. SAWYER,3
ALDERMAN GILBERT VILLEGAS,ALDERMAN SCOTT WAGUESPACK,4
ALDERMAN GILBERT VILLEGAS,CITIZENS FOR JOE MOORE,3
ALDERMAN GILBERT VILLEGAS,ALDERMAN BRENDAN REILLY,3
ALDERMAN GILBERT VILLEGAS,ALDERMAN GEORGE CARDENAS,5
ALDERMAN GILBERT VILLEGAS,ALDERMAN MICHELLE A. HARRIS,3
ALDERMAN GILBERT VILLEGAS,ALDERMAN CARRIE M. AUSTIN,3
ALDERMAN GILBERT VILLEGAS,ALDERMAN JAMES CAPPLEMAN,3
ALDERMAN GILBERT VILLEGAS,FRIENDS OF EDWARD M. BURKE,4
ALDERMAN GILBERT VILLEGAS,FRIENDS OF RAYMOND A. LOPEZ,3
ALDERMAN GILBERT VILLEGAS,ALDERMAN PAT DOWELL,3
ALDERMAN GILBERT VILLEGAS,FRIENDS OF MICHELLE HARRIS,3
ALDERMAN GILBERT VILLEGAS,ALDERMAN TOM TUNNEY,3
ALDERMAN GILBERT VILLEGAS,ALDERMAN RAYMOND LOPEZ,4
ALDERMAN GILBERT VILLEGAS,ALDERMAN JOANN THOMPSON,4
ALDERMAN GILBERT VILLEGAS,ALDERMAN MICHELE SMITH,3
ALDERMAN GILBERT VILLEGAS,ALDERMAN JOE MOORE,3
ALDERMAN GILBERT VILLEGAS,ALDERMAN CARRIE AUSTIN,3
ALDERMAN GILBERT VILLEGAS,ALDERMAN LESLIE HAIRSTON,3
ALDERMAN GILBERT VILLEGAS,ALDERMAN WALTER BURNETT,3
ALDERMAN GILBERT VILLEGAS,24TH WARD DEMOCRATIC ORGANIZATION ALD. MICHAEL SCOTT,3
ALDERMAN GILBERT VILLEGAS,FRIENDS OF CARRIE M. AUSTIN,3
ALDERMAN GILBERT VILLEGAS,ALDERMAN ANTHONY BEALE,3
ALDERMAN GILBERT VILLEGAS,ALDERMAN EDWARD M. BURKE,3
ALDERMAN GILBERT VILLEGAS,THE BURNHAM COMMITTEE ALDERMAN ED BURKE,3
ALDERMAN GILBERT VILLEGAS,ALDERMAN HARRY OSTERMAN,3
ALDERMAN GILBERT VILLEGAS,ALDERMAN RODERICK T. SAWYER,3
ALDERMAN GILBERT VILLEGAS,ALDERMAN DEBRA SILVERSTEIN,3
ALDERMAN GILBERT VILLEGAS,"ALDERMAN WALTER BURNETT, JR.",3
CITIZENS FOR REBOYRAS,FRIENDS OF WALTER BURNETT,5
CITIZENS FOR REBOYRAS,FRIENDS OF GEORGE CARDENAS,4
CITIZENS FOR REBOYRAS,FRIENDS OF LESLIE HAIRSTON,4
CITIZENS FOR REBOYRAS,CITIZENS FOR JOE MOORE,6
CITIZENS FOR REBOYRAS,FRIENDS OF RAYMOND LOPEZ,4
CITIZENS FOR REBOYRAS,FRIENDS OF ED BURKE,3
CITIZENS FOR REBOYRAS,CITIZENS FOR CAPPLEMAN,7
CITIZENS FOR REBOYRAS,FRIENDS OF MICHELLE HARRIS,3
FRIENDS OF WALTER BURNETT,FRIENDS OF MICHELLE SMITH,3
FRIENDS OF WALTER BURNETT,FRIENDS OF GEORGE CARDENAS,5
FRIENDS OF WALTER BURNETT,FRIENDS OF RODERICK T. SAWYER,3
FRIENDS OF WALTER BURNETT,CITIZENS FOR ALDERMAN REILLY,3
FRIENDS OF WALTER BURNETT,FRIENDS OF LESLIE HAIRSTON,6
FRIENDS OF WALTER BURNETT,CITIZENS FOR EMMA MITTS,3
FRIENDS OF WALTER BURNETT,NEIGHBORS FOR HARRY OSTERMAN,3
FRIENDS OF WALTER BURNETT,CITIZENS FOR JOE MOORE,7
FRIENDS OF WALTER BURNETT,FRIENDS OF RAYMOND LOPEZ,4
FRIENDS OF WALTER BURNETT,WALTER BURNETT,3
FRIENDS OF WALTER BURNETT,FRIENDS OF NICHOLAS SPOSATO,3
FRIENDS OF WALTER BURNETT,FRIENDS OF EDWARD M. BURKE,3
FRIENDS OF WALTER BURNETT,FRIENDS OF ED BURKE,6
FRIENDS OF WALTER BURNETT,CITIZENS FOR CAPPLEMAN,8
FRIENDS OF WALTER BURNETT,COMMITTEE TO ELECT HOWARD BROOKINS,3
FRIENDS OF WALTER BURNETT,FRIENDS OF MICHELLE HARRIS,3
FRIENDS OF WALTER BURNETT,CITIZENS FOR CARRIE AUSTIN,3
FRIENDS OF WALTER BURNETT,FRIENDS OF DEBRA SILVERSTEIN,3
FRIENDS OF WALTER BURNETT,CITIZENS FOR BRENDAN REILLY,4
FRIENDS OF MICHELLE SMITH,FRIENDS OF GEORGE CARDENAS,3
FRIENDS OF MICHELLE SMITH,FRIENDS OF RODERICK T. SAWYER,3
FRIENDS OF MICHELLE SMITH,CITIZENS FOR JOE MOORE,3
FRIENDS OF MICHELLE SMITH,FRIENDS OF RAYMOND LOPEZ,3
FRIENDS OF MICHELLE SMITH,FRIENDS OF ED BURKE,3
FRIENDS OF MICHELLE SMITH,CITIZENS FOR CAPPLEMAN,3
FRIENDS OF MICHELLE SMITH,FRIENDS OF MICHELLE HARRIS,3
FRIENDS OF MICHELLE SMITH,CITIZENS FOR ARIEL REBOYRAS,3
FRIENDS OF GEORGE CARDENAS,FRIENDS OF RODERICK T. SAWYER,5
FRIENDS OF GEORGE CARDENAS,CITIZENS FOR ALDERMAN REILLY,4
FRIENDS OF GEORGE CARDENAS,FRIENDS OF LESLIE HAIRSTON,5
FRIENDS OF GEORGE CARDENAS,NEIGHBORS FOR HARRY OSTERMAN,3
FRIENDS OF GEORGE CARDENAS,CITIZENS FOR JOE MOORE,6
FRIENDS OF GEORGE CARDENAS,FRIENDS OF RAYMOND LOPEZ,6
FRIENDS OF GEORGE CARDENAS,FRIENDS OF NICHOLAS SPOSATO,3
FRIENDS OF GEORGE CARDENAS,FRIENDS OF EDWARD M. BURKE,3
FRIENDS OF GEORGE CARDENAS,CITIZENS FOR CAPPLEMAN,8
FRIENDS OF GEORGE CARDENAS,FRIENDS OF MICHELLE HARRIS,4
FRIENDS OF GEORGE CARDENAS,CITIZENS FOR CARRIE AUSTIN,3
FRIENDS OF GEORGE CARDENAS,FRIENDS OF GREG MITCHELL,3
FRIENDS OF GEORGE CARDENAS,CITIZENS FOR ARIEL REBOYRAS,3
FRIENDS OF GEORGE CARDENAS,FRIENDS OF GEORGE A. CARDENAS,3
FRIENDS OF GEORGE CARDENAS,FRIENDS OF CARRIE M. AUSTIN,3
FRIENDS OF GEORGE CARDENAS,CITIZENS FOR MICHAEL SCOTT JR.,3
FRIENDS OF GEORGE CARDENAS,"COMMITTEE TO ELECT HOWARD BROOKINS, JR.",3
FRIENDS OF RODERICK T. SAWYER,ALDERMAN SCOTT WAGUESPACK,3
FRIENDS OF RODERICK T. SAWYER,CITIZENS FOR ALDERMAN REILLY,4
FRIENDS OF RODERICK T. SAWYER,FRIENDS OF LESLIE HAIRSTON,6
FRIENDS OF RODERICK T. SAWYER,NEIGHBORS FOR HARRY OSTERMAN,6
FRIENDS OF RODERICK T. SAWYER,CITIZENS FOR JOE MOORE,11
FRIENDS OF RODERICK T. SAWYER,ALDERMAN BRENDAN REILLY,3
FRIENDS OF RODERICK T. SAWYER,FRIENDS OF RAYMOND LOPEZ,3
FRIENDS OF RODERICK T. SAWYER,ALDERMAN GEORGE CARDENAS,3
FRIENDS OF RODERICK T. SAWYER,ALDERMAN MICHELLE A. HARRIS,3
FRIENDS OF RODERICK T. SAWYER,ALDERMAN CARRIE M. AUSTIN,3
FRIENDS OF RODERICK T. SAWYER,FRIENDS OF NICHOLAS SPOSATO,4
FRIENDS OF RODERICK T. SAWYER,ALDERMAN JAMES CAPPLEMAN,3
FRIENDS OF RODERICK T. SAWYER,FRIENDS OF EDWARD M. BURKE,9
FRIENDS OF RODERICK T. SAWYER,FRIENDS OF RAYMOND A. LOPEZ,5
FRIENDS OF RODERICK T. SAWYER,ALDERMAN PAT DOWELL,3
FRIENDS OF RODERICK T. SAWYER,CITIZENS FOR CAPPLEMAN,7
FRIENDS OF RODERICK T. SAWYER,FRIENDS OF MICHELLE HARRIS,9
FRIENDS OF RODERICK T. SAWYER,CITIZENS FOR CARRIE AUSTIN,3
FRIENDS OF RODERICK T. SAWYER,ALDERMAN TOM TUNNEY,3
FRIENDS OF RODERICK T. SAWYER,FRIENDS OF PATRICK D. THOMPSON,3
FRIENDS OF RODERICK T. SAWYER,ALDERMAN RAYMOND LOPEZ,3
FRIENDS OF RODERICK T. SAWYER,ALDERMAN JOANN THOMPSON,3
FRIENDS OF RODERICK T. SAWYER,ALDERMAN MICHELE SMITH,3
FRIENDS OF RODERICK T. SAWYER,ALDERMAN JOE MOORE,4
FRIENDS OF RODERICK T. SAWYER,ALDERMAN CARRIE AUSTIN,3
FRIENDS OF RODERICK T. SAWYER,ALDERMAN LESLIE HAIRSTON,3
FRIENDS OF RODERICK T. SAWYER,FRIENDS OF GREG MITCHELL,3
FRIENDS OF RODERICK T. SAWYER,FRIENDS OF RODERICK T SAWYER,3
FRIENDS OF RODERICK T. SAWYER,ALDERMAN WALTER BURNETT,4
FRIENDS OF RODERICK T. SAWYER,24TH WARD DEMOCRATIC ORGANIZATION ALD. MICHAEL SCOTT,3
FRIENDS OF RODERICK T. SAWYER,FRIENDS OF GEORGE A. CARDENAS,5
FRIENDS OF RODERICK T. SAWYER,FRIENDS OF CARRIE M. AUSTIN,6
FRIENDS OF RODERICK T. SAWYER,CITIZENS FOR MICHAEL SCOTT JR.,3
FRIENDS OF RODERICK T. SAWYER,ALDERMAN ANTHONY BEALE,3
FRIENDS OF RODERICK T. SAWYER,ALDERMAN EDWARD M. BURKE,3
FRIENDS OF RODERICK T. SAWYER,THE BURNHAM COMMITTEE ALDERMAN ED BURKE,3
FRIENDS OF RODERICK T. SAWYER,ALDERMAN HARRY OSTERMAN,3
FRIENDS OF RODERICK T. SAWYER,"COMMITTEE TO ELECT HOWARD BROOKINS, JR.",3
FRIENDS OF RODERICK T. SAWYER,FRIENDS OF DEBRA SILVERSTEIN,3
FRIENDS OF RODERICK T. SAWYER,ALDERMAN RODERICK T. SAWYER,3
FRIENDS OF RODERICK T. SAWYER,ALDERMAN DEBRA SILVERSTEIN,3
FRIENDS OF RODERICK T. SAWYER,"ALDERMAN WALTER BURNETT, JR.",3
FRIENDS OF RODERICK T. SAWYER,FRIENDS OF TABARES,3
FRIENDS OF RODERICK T. SAWYER,"COMMITTEE TO ELECT HOWARD B. BROOKINS, JR.",3
ALDERMAN SCOTT WAGUESPACK,CITIZENS FOR JOE MOORE,3
ALDERMAN SCOTT WAGUESPACK,ALDERMAN BRENDAN REILLY,3
ALDERMAN SCOTT WAGUESPACK,ALDERMAN GEORGE CARDENAS,4
ALDERMAN SCOTT WAGUESPACK,ALDERMAN MICHELLE A. HARRIS,3
ALDERMAN SCOTT WAGUESPACK,ALDERMAN CARRIE M. AUSTIN,3
ALDERMAN SCOTT WAGUESPACK,ALDERMAN JAMES CAPPLEMAN,3
ALDERMAN SCOTT WAGUESPACK,FRIENDS OF EDWARD M. BURKE,3
ALDERMAN SCOTT WAGUESPACK,FRIENDS OF RAYMOND A. LOPEZ,3
ALDERMAN SCOTT WAGUESPACK,ALDERMAN PAT DOWELL,3
ALDERMAN SCOTT WAGUESPACK,FRIENDS OF MICHELLE HARRIS,3
ALDERMAN SCOTT WAGUESPACK,ALDERMAN TOM TUNNEY,3
ALDERMAN SCOTT WAGUESPACK,ALDERMAN RAYMOND LOPEZ,4
ALDERMAN SCOTT WAGUESPACK,ALDERMAN JOANN THOMPSON,3
ALDERMAN SCOTT WAGUESPACK,ALDERMAN MICHELE SMITH,3
ALDERMAN SCOTT WAGUESPACK,ALDERMAN JOE MOORE,3
ALDERMAN SCOTT WAGUESPACK,ALDERMAN CARRIE AUSTIN,3
ALDERMAN SCOTT WAGUESPACK,ALDERMAN LESLIE HAIRSTON,3
ALDERMAN SCOTT WAGUESPACK,ALDERMAN WALTER BURNETT,3
ALDERMAN SCOTT WAGUESPACK,24TH WARD DEMOCRATIC ORGANIZATION ALD. MICHAEL SCOTT,3
ALDERMAN SCOTT WAGUESPACK,FRIENDS OF CARRIE M. AUSTIN,3
ALDERMAN SCOTT WAGUESPACK,ALDERMAN ANTHONY BEALE,3
ALDERMAN SCOTT WAGUESPACK,ALDERMAN EDWARD M. BURKE,3
ALDERMAN SCOTT WAGUESPACK,THE BURNHAM COMMITTEE ALDERMAN ED BURKE,3
ALDERMAN SCOTT WAGUESPACK,ALDERMAN HARRY OSTERMAN,3
ALDERMAN SCOTT WAGUESPACK,ALDERMAN RODERICK T. SAWYER,3
ALDERMAN SCOTT WAGUESPACK,ALDERMAN DEBRA SILVERSTEIN,3
ALDERMAN SCOTT WAGUESPACK,"ALDERMAN WALTER BURNETT, JR.",3
CITIZENS FOR ALDERMAN REILLY,FRIENDS OF LESLIE HAIRSTON,4
CITIZENS FOR ALDERMAN REILLY,CITIZENS FOR JOE MOORE,5
CITIZENS FOR ALDERMAN REILLY,FRIENDS OF RAYMOND LOPEZ,3
CITIZENS FOR ALDERMAN REILLY,FRIENDS OF EDWARD M. BURKE,4
CITIZENS FOR ALDERMAN REILLY,CITIZENS FOR CAPPLEMAN,4
FRIENDS OF LESLIE HAIRSTON,CITIZENS FOR JOE MOORE,8
FRIENDS OF LESLIE HAIRSTON,FRIENDS OF RAYMOND LOPEZ,3
FRIENDS OF LESLIE HAIRSTON,FRIENDS OF ED BURKE,4
FRIENDS OF LESLIE HAIRSTON,CITIZENS FOR CAPPLEMAN,6
FRIENDS OF LESLIE HAIRSTON,COMMITTEE TO ELECT HOWARD BROOKINS,3
FRIENDS OF LESLIE HAIRSTON,FRIENDS OF CARRIE AUSTIN 34TH WARD COMMITTEEMAN,3
FRIENDS OF LESLIE HAIRSTON,FRIENDS OF MICHELLE HARRIS,9
FRIENDS OF LESLIE HAIRSTON,CITIZENS FOR CARRIE AUSTIN,8
FRIENDS OF LESLIE HAIRSTON,FRIENDS OF JOANN THOMPSON,4
FRIENDS OF LESLIE HAIRSTON,FRIENDS OF GREG MITCHELL,3
FRIENDS OF LESLIE HAIRSTON,"COMMITTEE TO ELECT HOWARD BROOKINS, JR.",3
NEIGHBORS FOR HARRY OSTERMAN,CITIZENS FOR JOE MOORE,7
NEIGHBORS FOR HARRY OSTERMAN,FRIENDS OF NICHOLAS SPOSATO,4
NEIGHBORS FOR HARRY OSTERMAN,CITIZENS FOR CAPPLEMAN,7
NEIGHBORS FOR HARRY OSTERMAN,FRIENDS OF MICHELLE HARRIS,4
NEIGHBORS FOR HARRY OSTERMAN,FRIENDS OF GEORGE A. CARDENAS,4
NEIGHBORS FOR HARRY OSTERMAN,FRIENDS OF DEBRA SILVERSTEIN,3
CITIZENS FOR JOE MOORE,ALDERMAN BRENDAN REILLY,3
CITIZENS FOR JOE MOORE,FRIENDS OF RAYMOND LOPEZ,5
CITIZENS FOR JOE MOORE,ALDERMAN GEORGE CARDENAS,7
CITIZENS FOR JOE MOORE,ALDERMAN MICHELLE A. HARRIS,3
CITIZENS FOR JOE MOORE,ALDERMAN CARRIE M. AUSTIN,3
CITIZENS FOR JOE MOORE,FRIENDS OF NICHOLAS SPOSATO,6
CITIZENS FOR JOE MOORE,ALDERMAN JAMES CAPPLEMAN,4
CITIZENS FOR JOE MOORE,FRIENDS OF EDWARD M. BURKE,9
CITIZENS FOR JOE MOORE,FRIENDS OF RAYMOND A. LOPEZ,5
CITIZENS FOR JOE MOORE,FRIENDS OF ED BURKE,5
CITIZENS FOR JOE MOORE,ALDERMAN PAT DOWELL,3
CITIZENS FOR JOE MOORE,CITIZENS FOR CAPPLEMAN,12
CITIZENS FOR JOE MOORE,COMMITTEE TO ELECT HOWARD BROOKINS,3
CITIZENS FOR JOE MOORE,FRIENDS OF MICHELLE HARRIS,8
CITIZENS FOR JOE MOORE,FRIENDS OF GEORGE A CARDENAS,4
CITIZENS FOR JOE MOORE,CITIZENS FOR CARRIE AUSTIN,6
CITIZENS FOR JOE MOORE,ALDERMAN TOM TUNNEY,3
CITIZENS FOR JOE MOORE,ALDERMAN REILLY,3
CITIZENS FOR JOE MOORE,FRIENDS OF JOANN THOMPSON,3
CITIZENS FOR JOE MOORE,FRIENDS OF PATRICK D. THOMPSON,4
CITIZENS FOR JOE MOORE,ALDERMAN RAYMOND LOPEZ,3
CITIZENS FOR JOE MOORE,ALDERMAN JOANN THOMPSON,3
CITIZENS FOR JOE MOORE,ALDERMAN MICHELE SMITH,3
CITIZENS FOR JOE MOORE,ALDERMAN JOE MOORE,5
CITIZENS FOR JOE MOORE,ALDERMAN CARRIE AUSTIN,3
CITIZENS FOR JOE MOORE,ALDERMAN LESLIE HAIRSTON,3
CITIZENS FOR JOE MOORE,FRIENDS OF GREG MITCHELL,3
CITIZENS FOR JOE MOORE,ALDERMAN WALTER BURNETT,6
CITIZENS FOR JOE MOORE,24TH WARD DEMOCRATIC ORGANIZATION ALD. MICHAEL SCOTT,3
CITIZENS FOR JOE MOORE,CITIZENS FOR ARIEL REBOYRAS,3
CITIZENS FOR JOE MOORE,FRIENDS OF GEORGE A. CARDENAS,6
CITIZENS FOR JOE MOORE,FRIENDS OF CARRIE M. AUSTIN,6
CITIZENS FOR JOE MOORE,CITIZENS FOR MICHAEL SCOTT JR.,3
CITIZENS FOR JOE MOORE,FRIENDS OF PATRICK THOMPSON,3
CITIZENS FOR JOE MOORE,ALDERMAN ANTHONY BEALE,3
CITIZENS FOR JOE MOORE,ALDERMAN EDWARD M. BURKE,3
CITIZENS FOR JOE MOORE,THE BURNHAM COMMITTEE ALDERMAN ED BURKE,3
CITIZENS FOR JOE MOORE,PATRICK DALEY THOMPSON CAMPAIGN COMMITTEE,3
CITIZENS FOR JOE MOORE,CITIZENS FOR MICHELE SMITH,3
CITIZENS FOR JOE MOORE,ALDERMAN HARRY OSTERMAN,3
CITIZENS FOR JOE MOORE,"COMMITTEE TO ELECT HOWARD BROOKINS, JR.",3
CITIZENS FOR JOE MOORE,FRIENDS OF DEBRA SILVERSTEIN,4
CITIZENS FOR JOE MOORE,ALDERMAN RODERICK T. SAWYER,3
CITIZENS FOR JOE MOORE,ALDERMAN DEBRA SILVERSTEIN,3
CITIZENS FOR JOE MOORE,"ALDERMAN WALTER BURNETT, JR.",3
CITIZENS FOR JOE MOORE,FRIENDS OF TABARES,3
CITIZENS FOR JOE MOORE,FRIENDS OF JOE MOORE,3
CITIZENS FOR JOE MOORE,"COMMITTEE TO ELECT HOWARD B. BROOKINS, JR.",3
ALDERMAN BRENDAN REILLY,ALDERMAN GEORGE CARDENAS,3
ALDERMAN BRENDAN REILLY,ALDERMAN MICHELLE A. HARRIS,3
ALDERMAN BRENDAN REILLY,ALDERMAN CARRIE M. AUSTIN,3
ALDERMAN BRENDAN REILLY,ALDERMAN JAMES CAPPLEMAN,3
ALDERMAN BRENDAN REILLY,FRIENDS OF EDWARD M. BURKE,3
ALDERMAN BRENDAN REILLY,FRIENDS OF RAYMOND A. LOPEZ,3
ALDERMAN BRENDAN REILLY,ALDERMAN PAT DOWELL,3
ALDERMAN BRENDAN REILLY,FRIENDS OF MICHELLE HARRIS,3
ALDERMAN BRENDAN REILLY,ALDERMAN TOM TUNNEY,5
ALDERMAN BRENDAN REILLY,ALDERMAN RAYMOND LOPEZ,4
ALDERMAN BRENDAN REILLY,ALDERMAN JOANN THOMPSON,3
ALDERMAN BRENDAN REILLY,ALDERMAN MICHELE SMITH,3
ALDERMAN BRENDAN REILLY,ALDERMAN JOE MOORE,3
ALDERMAN BRENDAN REILLY,ALDERMAN CARRIE AUSTIN,3
ALDERMAN BRENDAN REILLY,ALDERMAN LESLIE HAIRSTON,3
ALDERMAN BRENDAN REILLY,ALDERMAN WALTER BURNETT,3
ALDERMAN BRENDAN REILLY,24TH WARD DEMOCRATIC ORGANIZATION ALD. MICHAEL SCOTT,3
ALDERMAN BRENDAN REILLY,FRIENDS OF CARRIE M. AUSTIN,3
ALDERMAN BRENDAN REILLY,ALDERMAN ANTHONY BEALE,3
ALDERMAN BRENDAN REILLY,ALDERMAN EDWARD M. BURKE,3
ALDERMAN BRENDAN REILLY,THE BURNHAM COMMITTEE ALDERMAN ED BURKE,3
ALDERMAN BRENDAN REILLY,ALDERMAN HARRY OSTERMAN,3
ALDERMAN BRENDAN REILLY,ALDERMAN RODERICK T. SAWYER,3
ALDERMAN BRENDAN REILLY,ALDERMAN DEBRA SILVERSTEIN,3
ALDERMAN BRENDAN REILLY,"ALDERMAN WALTER BURNETT, JR.",3
FRIENDS OF RAYMOND LOPEZ,CITIZENS FOR CAPPLEMAN,7
FRIENDS OF RAYMOND LOPEZ,FRIENDS OF GREG MITCHELL,3
FRIENDS OF RAYMOND LOPEZ,CITIZENS FOR ARIEL REBOYRAS,3
FRIENDS OF RAYMOND LOPEZ,FRIENDS OF GEORGE A. CARDENAS,3
FRIENDS OF RAYMOND LOPEZ,FRIENDS OF TABARES,3
ALDERMAN GEORGE CARDENAS,ALDERMAN MICHELLE A. HARRIS,3
ALDERMAN GEORGE CARDENAS,ALDERMAN CARRIE M. AUSTIN,3
ALDERMAN GEORGE CARDENAS,ALDERMAN JAMES CAPPLEMAN,4
ALDERMAN GEORGE CARDENAS,FRIENDS OF EDWARD M. BURKE,4
ALDERMAN GEORGE CARDENAS,FRIENDS OF RAYMOND A. LOPEZ,3
ALDERMAN GEORGE CARDENAS,FRIENDS OF ED BURKE,3
ALDERMAN GEORGE CARDENAS,ALDERMAN PAT DOWELL,3
ALDERMAN GEORGE CARDENAS,FRIENDS OF MICHELLE HARRIS,3
ALDERMAN GEORGE CARDENAS,ALDERMAN TOM TUNNEY,3
ALDERMAN GEORGE CARDENAS,ALDERMAN RAYMOND LOPEZ,4
ALDERMAN GEORGE CARDENAS,ALDERMAN JOANN THOMPSON,4
ALDERMAN GEORGE CARDENAS,ALDERMAN MICHELE SMITH,3
ALDERMAN GEORGE CARDENAS,ALDERMAN JOE MOORE,4
ALDERMAN GEORGE CARDENAS,ALDERMAN CARRIE AUSTIN,3
ALDERMAN GEORGE CARDENAS,ALDERMAN LESLIE HAIRSTON,3
ALDERMAN GEORGE CARDENAS,ALDERMAN WALTER BURNETT,3
ALDERMAN GEORGE CARDENAS,24TH WARD DEMOCRATIC ORGANIZATION ALD. MICHAEL SCOTT,3
ALDERMAN GEORGE CARDENAS,FRIENDS OF CARRIE M. AUSTIN,3
ALDERMAN GEORGE CARDENAS,ALDERMAN ANTHONY BEALE,3
ALDERMAN GEORGE CARDENAS,ALDERMAN EDWARD M. BURKE,3
ALDERMAN GEORGE CARDENAS,THE BURNHAM COMMITTEE ALDERMAN ED BURKE,3
ALDERMAN GEORGE CARDENAS,ALDERMAN HARRY OSTERMAN,3
ALDERMAN GEORGE CARDENAS,ALDERMAN RODERICK T. SAWYER,3
ALDERMAN GEORGE CARDENAS,ALDERMAN DEBRA SILVERSTEIN,3
ALDERMAN GEORGE CARDENAS,"ALDERMAN WALTER BURNETT, JR.",3
ALDERMAN MICHELLE A. HARRIS,ALDERMAN CARRIE M. AUSTIN,3
ALDERMAN MICHELLE A. HARRIS,ALDERMAN JAMES CAPPLEMAN,3
ALDERMAN MICHELLE A. HARRIS,FRIENDS OF EDWARD M. BURKE,3
ALDERMAN MICHELLE A. HARRIS,FRIENDS OF RAYMOND A. LOPEZ,3
ALDERMAN MICHELLE A. HARRIS,ALDERMAN PAT DOWELL,3
ALDERMAN MICHELLE A. HARRIS,FRIENDS OF MICHELLE HARRIS,3
ALDERMAN MICHELLE A. HARRIS,ALDERMAN TOM TUNNEY,3
ALDERMAN MICHELLE A. HARRIS,ALDERMAN RAYMOND LOPEZ,3
ALDERMAN MICHELLE A. HARRIS,ALDERMAN JOANN THOMPSON,3
