ID,Label,Count
3917,3917,2
20208,20208,2
23521,23521,2
24421,24421,2
16643,16643,2
4412,4412,2
4150,4150,11
24627,24627,1
21845,21845,1
7481,7481,2
24282,24282,1
24284,24284,1
19221,19221,2
24104,24104,1
24684,24684,2
23381,23381,2
3789,3789,3
8081,8081,1
3799,3799,1
24562,24562,1
19981,19981,1
24731,24731,1
24864,24864,1
24866,24866,1
24881,24881,1
17801,17801,1
24063,24063,1
16601,16601,9
4371,4371,13
4143,4143,1
5401,5401,5
6321,6321,12
16921,16921,1
3997,3997,1
4266,4266,1
3930,3930,62
24172,24172,1
4218,4218,1
4178,4178,2
3739,3739,62
7441,7441,5
3925,3925,288
15161,15161,1
21701,21701,2
4163,4163,4
4077,4077,18
15221,15221,1
14741,14741,6
4228,4228,5
4078,4078,4
4255,4255,2
8421,8421,2
5361,5361,4
9161,9161,1
11781,11781,2
14301,14301,2
3852,3852,9
4029,4029,1
17602,17602,1
6621,6621,2
13801,13801,1
4096,4096,8
13702,13702,18
4236,4236,20
18603,18603,2
4238,4238,10
4330,4330,2
6401,6401,1
4120,4120,3
21803,21803,1
5301,5301,1
12242,12242,3
17004,17004,2
5302,5302,2
3864,3864,40
4016,4016,13
16561,16561,1
23601,23601,1
19183,19183,1
3946,3946,13
3767,3767,15
3763,3763,2
4242,4242,5
6222,6222,2
4285,4285,2
18781,18781,2
20362,20362,15
15641,15641,2
9961,9961,2
9081,9081,11
3958,3958,3
6522,6522,3
6961,6961,2
4303,4303,13
20533,20533,1
21241,21241,2
22762,22762,1
3756,3756,6
11281,11281,1
11465,11465,1
12561,12561,1
22561,22561,1
4048,4048,1
7423,7423,4
22904,22904,1
7202,7202,1
12301,12301,3
3882,3882,3
4200,4200,1
8682,8682,1
3809,3809,28
8043,8043,2
20223,20223,2
4313,4313,3
3931,3931,24
11942,11942,21
5825,5825,2
4823,4823,2
4683,4683,3
4825,4825,3
3780,3780,3
6021,6021,2
4076,4076,1
16681,16681,1
3940,3940,4
4288,4288,9
5965,5965,1
22221,22221,1
4319,4319,4
4130,4130,1
20206,20206,2
3986,3986,4
15661,15661,5
4177,4177,8
4122,4122,2
3995,3995,18
4353,4353,1
20167,20167,1
4224,4224,3
4152,4152,2
3926,3926,5
5282,5282,2
4267,4267,10
20566,20566,2
4826,4826,1
20226,20226,2
3972,3972,6
8301,8301,1
5322,5322,5
5403,5403,2
12901,12901,3
4226,4226,3
3779,3779,9
12321,12321,3
4277,4277,3
20345,20345,1
7461,7461,9
17881,17881,1
6850,6850,2
5283,5283,12
3827,3827,7
3746,3746,2
3793,3793,3
4140,4140,5
3822,3822,1
3992,3992,8
20042,20042,7
20564,20564,1
3919,3919,5
4095,4095,1
9762,9762,1
9901,9901,4
3821,3821,9
15701,15701,1
4111,4111,1
4027,4027,2
3792,3792,6
4253,4253,2
4075,4075,4
17541,17541,2
10262,10262,1
7001,7001,1
12481,12481,4
4247,4247,2
20164,20164,2
4061,4061,1
4209,4209,5
16181,16181,1
9602,9602,1
21661,21661,1
14941,14941,2
12981,12981,1
3788,3788,3
4115,4115,1
11421,11421,4
10222,10222,2
4249,4249,3
17005,17005,3
3814,3814,2
6342,6342,4
3943,3943,2
3811,3811,4
24311,24311,1
5281,5281,4
8361,8361,10
4196,4196,8
3853,3853,1
4212,4212,3
10501,10501,1
9281,9281,2
14563,14563,1
14184,14184,1
14541,14541,1
7641,7641,1
5561,5561,1
3806,3806,1
3832,3832,4
3813,3813,5
3798,3798,1
4099,4099,1
21961,21961,1
4243,4243,2
23926,23926,2
6702,6702,1
3835,3835,1
9341,9341,1
3913,3913,1
3881,3881,13
18741,18741,4
15881,15881,1
9482,9482,3
15121,15121,2
14001,14001,2
14942,14942,4
6227,6227,2
4245,4245,4
3892,3892,1
16042,16042,3
4361,4361,5
4182,4182,1
3908,3908,4
4168,4168,10
5481,5481,9
14682,14682,1
4031,4031,2
4005,4005,4
20502,20502,1
3759,3759,2
4276,4276,4
3808,3808,2
8341,8341,4
3959,3959,2
4282,4282,2
20083,20083,4
18321,18321,1
4133,4133,3
19863,19863,1
9403,9403,1
3858,3858,1
3950,3950,1
13664,13664,2
9781,9781,1
23930,23930,2
13261,13261,1
6848,6848,2
12581,12581,1
3939,3939,2
4457,4457,1
8161,8161,4
5321,5321,2
5862,5862,5
7003,7003,3
12202,12202,1
6524,6524,3
6181,6181,1
4166,4166,2
4137,4137,2
17761,17761,1
4339,4339,4
18884,18884,1
4357,4357,1
9162,9162,1
3768,3768,1
11524,11524,1
8181,8181,10
12061,12061,4
17603,17603,1
4154,4154,1
3766,3766,3
3942,3942,7
20565,20565,1
4297,4297,1
20721,20721,3
11961,11961,1
6843,6843,3
9083,9083,1
4059,4059,1
3758,3758,2
13301,13301,2
3891,3891,1
4050,4050,1
4227,4227,1
5901,5901,2
14186,14186,1
8761,8761,5
6403,6403,2
19382,19382,1
23925,23925,2
4086,4086,2
4306,4306,1
20822,20822,3
4268,4268,1
3948,3948,2
4648,4648,1
3947,3947,1
14901,14901,1
9241,9241,2
3834,3834,2
4981,4981,2
3888,3888,3
16761,16761,1
21461,21461,1
9541,9541,1
3938,3938,3
4360,4360,4
4204,4204,2
3871,3871,3
17301,17301,2
3976,3976,2
4030,4030,7
20303,20303,1
17181,17181,1
20209,20209,1
19881,19881,2
3804,3804,2
4106,4106,1
4036,4036,2
4647,4647,2
18861,18861,2
14441,14441,4
10561,10561,1
20741,20741,1
16461,16461,2
3975,3975,2
3764,3764,1
24224,24224,1
9464,9464,3
13041,13041,1
13141,13141,2
7221,7221,2
4041,4041,1
4087,4087,1
4108,4108,2
16642,16642,2
4681,4681,1
4174,4174,1
21343,21343,1
4338,4338,7
11661,11661,1
6523,6523,2
16502,16502,2
22802,22802,2
9441,9441,1
5823,5823,1
3929,3929,2
12601,12601,1
4320,4320,1
4324,4324,2
13361,13361,1
6741,6741,1
19841,19841,2
4272,4272,4
7421,7421,1
4001,4001,7
6703,6703,3
4034,4034,1
8681,8681,1
5107,5107,4
5261,5261,3
14042,14042,4
7043,7043,1
24141,24141,1
3961,3961,2
23161,23161,1
22021,22021,1
4317,4317,2
12621,12621,1
4158,4158,1
20143,20143,1
17601,17601,1
9842,9842,1
3741,3741,5
5105,5105,4
11001,11001,1
3951,3951,14
3791,3791,2
4131,4131,1
7541,7541,2
11901,11901,1
4315,4315,2
4362,4362,4
7201,7201,1
23927,23927,1
19801,19801,1
4000,4000,3
24441,24441,1
6562,6562,2
22908,22908,1
16941,16941,2
10341,10341,3
3970,3970,2
19821,19821,1
19901,19901,1
18361,18361,2
7381,7381,4
21801,21801,2
22124,22124,1
16581,16581,1
15901,15901,1
22361,22361,1
8821,8821,2
4083,4083,2
7841,7841,1
3904,3904,1
20101,20101,1
4092,4092,2
3802,3802,1
21301,21301,1
6701,6701,1
11496,11496,1
4351,4351,1
16022,16022,2
5362,5362,1
4294,4294,1
20141,20141,1
3854,3854,2
4336,4336,3
14961,14961,1
9661,9661,1
17063,17063,1
9422,9422,1
19342,19342,1
4344,4344,2
21221,21221,1
4541,4541,2
7501,7501,2
3869,3869,2
5161,5161,1
4345,4345,1
4280,4280,1
14121,14121,13
22601,22601,1
18641,18641,1
11681,11681,1
6525,6525,2
20441,20441,1
20528,20528,5
4089,4089,2
3936,3936,1
14182,14182,1
4329,4329,4
16361,16361,1
4326,4326,2
12101,12101,1
19905,19905,1
24201,24201,1
9802,9802,2
22642,22642,1
11541,11541,1
5704,5704,1
4262,4262,1
5284,5284,1
11521,11521,1
10421,10421,1
18301,18301,2
18681,18681,1
11361,11361,1
20942,20942,1
12261,12261,2
9881,9881,1
3983,3983,2
9021,9021,1
3840,3840,2
4047,4047,1
18341,18341,1
21021,21021,1
14581,14581,1
14183,14183,1
22161,22161,1
10582,10582,2
8001,8001,1
20081,20081,1
3876,3876,2
12961,12961,5
4827,4827,1
3969,3969,1
4488,4488,2
5141,5141,1
24610,24610,1
16741,16741,1
18801,18801,4
11401,11401,1
4032,4032,2
4295,4295,1
20582,20582,1
11341,11341,1
6421,6421,1
5061,5061,1
4123,4123,1
15041,15041,1
7102,7102,1
3883,3883,1
3749,3749,1
20344,20344,1
3737,3737,1
23341,23341,1
4035,4035,2
4293,4293,1
10202,10202,1
13561,13561,1
9163,9163,1
11161,11161,1
14501,14501,1
5581,5581,1
10741,10741,1
4325,4325,1
4642,4642,2
7401,7401,2
13322,13322,1
8801,8801,1
20228,20228,1
3848,3848,1
