ID,Label,Count of Contributions
CITIZENS FOR HOWARD BROOKINS,CITIZENS FOR HOWARD BROOKINS,1
CITIZENS FOR DAVID MOORE,CITIZENS FOR DAVID MOORE,2
FRIENDS OF GEORGE A CARDENAS,FRIENDS OF GEORGE A CARDENAS,8
"FRIENDS OF CARRIE AUSTIN (VIA NEAL & LEROY, LLC)","FRIENDS OF CARRIE AUSTIN (VIA NEAL & LEROY, LLC)",1
FRIENDS OF MICHELE HARRIS,FRIENDS OF MICHELE HARRIS,2
FRIENDS OF HOWARD BROOKINS,FRIENDS OF HOWARD BROOKINS,2
FRIENDS OF RAMOND LOPEZ,FRIENDS OF RAMOND LOPEZ,2
CITIZENS FOR CARRIE AUSTIN,CITIZENS FOR CARRIE AUSTIN,13
ALDERMAN TOM TUNNEY,ALDERMAN TOM TUNNEY,6
CARRIE AUSTIN,CARRIE AUSTIN,6
ALDERMAN REILLY,ALDERMAN REILLY,5
FRIENDS OF JOANN THOMPSON,FRIENDS OF JOANN THOMPSON,7
FRIENDS OF PATRICK D. THOMPSON,FRIENDS OF PATRICK D. THOMPSON,8
FRIENDS OF TOM TUNNEY,FRIENDS OF TOM TUNNEY,2
FRIENDS OF CARDENAS,FRIENDS OF CARDENAS,2
FRIENDS FOR JOE MOORE,FRIENDS FOR JOE MOORE,1
ALDERMAN RAYMOND LOPEZ,ALDERMAN RAYMOND LOPEZ,6
FELIX CARDONA JR 31ST WARD ALDERMAN,FELIX CARDONA JR 31ST WARD ALDERMAN,1
ALDERMAN JOANN THOMPSON,ALDERMAN JOANN THOMPSON,5
FRIENDS OF ALDERMAN CARDENAS,FRIENDS OF ALDERMAN CARDENAS,2
ALDERMAN MICHELE SMITH,ALDERMAN MICHELE SMITH,5
FRIEND OF MATT O'SHEA,FRIEND OF MATT O'SHEA,1
CITIZENS OF JOE MOORE,CITIZENS OF JOE MOORE,1
ALDERMAN JOE MOORE,ALDERMAN JOE MOORE,8
FRIENDS OF ALDERMAN BEALE FOR CONGRESS,FRIENDS OF ALDERMAN BEALE FOR CONGRESS,1
MICHELLE HARRIS FOR CITY CLERK,MICHELLE HARRIS FOR CITY CLERK,1
FRIENDS OF EDWARD BURKE,FRIENDS OF EDWARD BURKE,6
CITIZENS FOR CARRIE M. AUSTIN,CITIZENS FOR CARRIE M. AUSTIN,2
FRIENDS OF GUASTELLA NUGENT,FRIENDS OF GUASTELLA NUGENT,1
ALD JOE MOORE,ALD JOE MOORE,1
MICHELLE A. HARRIS,MICHELLE A. HARRIS,1
FRIENDS OF JASON ERVIN,FRIENDS OF JASON ERVIN,1
CITIZENS FOR DOWELL,CITIZENS FOR DOWELL,2
FRIENDS FOR DEBORAH SILVERSTEIN,FRIENDS FOR DEBORAH SILVERSTEIN,1
ALDERMAN SMITH,ALDERMAN SMITH,1
CITIZENS OF CARRIE M AUSTIN,CITIZENS OF CARRIE M AUSTIN,1
CITIZEN TO ELECT ANTHONY BEALE,CITIZEN TO ELECT ANTHONY BEALE,1
RAYMOND LOPEZ,RAYMOND LOPEZ,2
ALDERMAN BRENDAN REILLY (42ND WARD HOCKEY CLUB),ALDERMAN BRENDAN REILLY (42ND WARD HOCKEY CLUB),1
ALDERMAN CARRIE AUSTIN,ALDERMAN CARRIE AUSTIN,9
ALD. BRENDAN REILLY,ALD. BRENDAN REILLY,1
MICHELE SMITH,MICHELE SMITH,5
MICHAEL SCOTT JR.,MICHAEL SCOTT JR.,1
ALDERMAN LESLIE HAIRSTON,ALDERMAN LESLIE HAIRSTON,8
ALD. CARRIE AUSTIN,ALD. CARRIE AUSTIN,1
ALDERMAN ELECT PATRICK THOMPSON,ALDERMAN ELECT PATRICK THOMPSON,1
MELISSA FOR CITY TREASURE (MELISSA CONYEARS-ERVIN),MELISSA FOR CITY TREASURE (MELISSA CONYEARS-ERVIN),1
CITIZENS FOR ALDERMAN ERVIN,CITIZENS FOR ALDERMAN ERVIN,1
ALD. MICHELLE HARRIS,ALD. MICHELLE HARRIS,1
FRIENDS OF GREG MITCHELL,FRIENDS OF GREG MITCHELL,5
FRIENDS OF HAIRSTON,FRIENDS OF HAIRSTON,1
FRIENDS OF RODERICK T SAWYER,FRIENDS OF RODERICK T SAWYER,5
MTC JOBS PAC - ALD. EMMA MITTS (FUNDRAISING RECEPTION),MTC JOBS PAC - ALD. EMMA MITTS (FUNDRAISING RECEPTION),1
JEANETTE TAYLOR,JEANETTE TAYLOR,2
FRIENDS OF EDWARD M. BURKE (ALD SPONSOR - RECEPTION),FRIENDS OF EDWARD M. BURKE (ALD SPONSOR - RECEPTION),1
FRIENDS OF PATRICK D THOMPSON,FRIENDS OF PATRICK D THOMPSON,3
ALDERMAN WALTER BURNETT,ALDERMAN WALTER BURNETT,9
CITIZENS FOR MOORE,CITIZENS FOR MOORE,2
FRIENDS OF RON SAWYER,FRIENDS OF RON SAWYER,1
RE-ELECT TOM TUNNEY,RE-ELECT TOM TUNNEY,2
HOWARD BROOKINS 21ST CHICAGO,HOWARD BROOKINS 21ST CHICAGO,1
PAT DOWELL,PAT DOWELL,4
24TH WARD DEMOCRATIC ORGANIZATION ALD. MICHAEL SCOTT,24TH WARD DEMOCRATIC ORGANIZATION ALD. MICHAEL SCOTT,3
19TH WARD DEM - MATT O'SHEA,19TH WARD DEM - MATT O'SHEA,1
CITIZENS FOR ANTHONY BEALE,CITIZENS FOR ANTHONY BEALE,4
CITIZENS FOR ARIEL REBOYRAS,CITIZENS FOR ARIEL REBOYRAS,3
FRIENDS OF GEORGE A. CARDENAS,FRIENDS OF GEORGE A. CARDENAS,12
FRIENDS OF CARRIE M. AUSTIN,FRIENDS OF CARRIE M. AUSTIN,9
"MICHAEL SCOTT - NEAL & LEROY, LLC","MICHAEL SCOTT - NEAL & LEROY, LLC",1
ALDERMAN LOPEZ,ALDERMAN LOPEZ,1
ALDERMAN EDWARD BURKE,ALDERMAN EDWARD BURKE,1
EIGHTH WARD REGULAR DEMOCRATIC ORGANIZATION (HARRIS),EIGHTH WARD REGULAR DEMOCRATIC ORGANIZATION (HARRIS),2
CITIZENS FOR JOE MOORE (ALD) (GENERAL COTNRIBUTION,CITIZENS FOR JOE MOORE (ALD) (GENERAL COTNRIBUTION,1
CITIZENS FOR CARRIE M. AUSTIN - ALDERMAN 34TH WARD,CITIZENS FOR CARRIE M. AUSTIN - ALDERMAN 34TH WARD,1
CITIZENS FOR MICHAEL SCOTT JR.,CITIZENS FOR MICHAEL SCOTT JR.,8
CITIZENS FOR HARRIS,CITIZENS FOR HARRIS,1
FRIENDS OF R. SAWYER,FRIENDS OF R. SAWYER,1
"FRIENDS OF WALTER BURNETTE, JR.","FRIENDS OF WALTER BURNETTE, JR.",1
ALDERMAN ROBERTO MALDONADO,ALDERMAN ROBERTO MALDONADO,2
FRIENDS OF ALD. REILLY,FRIENDS OF ALD. REILLY,1
ALD ROBERTO MALDONADO,ALD ROBERTO MALDONADO,1
JAMES CAPPLEMAN,JAMES CAPPLEMAN,2
FRIENDS OF LOPEZ,FRIENDS OF LOPEZ,1
ALDERMAN FELIX CARDONA,ALDERMAN FELIX CARDONA,1
ALD.HOPKINS BUSINESS ADVISORY COUNCIL,ALD.HOPKINS BUSINESS ADVISORY COUNCIL,1
FRIENDS OF PATRICK THOMPSON,FRIENDS OF PATRICK THOMPSON,6
ALDERMAN ANTHONY BEALE,ALDERMAN ANTHONY BEALE,4
CITIZENS FOR MALDONADO - POLITICAL DONATION FUNDRAISING EVENT ON 10/22/15,CITIZENS FOR MALDONADO - POLITICAL DONATION FUNDRAISING EVENT ON 10/22/15,1
